id,name,party,photoUrl,website
,Hannu Hoskonen,Keskusta,https://keskusta.fi/wp-content/uploads/2020/05/Hoskonen-Hannu-800x533px.jpg,
,Hanna Räsänen,Keskusta,https://keskusta.fi/wp-content/uploads/2023/04/Huttunen-Hanna.jpg,
,Antti Kaikkonen,Keskusta,https://keskusta.fi/wp-content/uploads/2023/04/Kaikkonen-Antti.jpg,
,Eeva Kalli,Keskusta,https://keskusta.fi/wp-content/uploads/2023/04/Kalli-Eeva-2.jpg,
,Vesa Kallio,Keskusta,https://keskusta.fi/wp-content/uploads/2023/04/Kallio-Vesa-2.jpg,
,Anne Kalmari,Keskusta,https://keskusta.fi/wp-content/uploads/2020/05/Kalmari-Anne-800x533px.jpg,
,Hilkka Kemppi,Keskusta,https://keskusta.fi/wp-content/uploads/2024/05/Kemppi-Hilkka-800x800px2.jpg,
,Tuomas Kettunen,Keskusta,https://keskusta.fi/wp-content/uploads/2024/06/Kettunen-Tuomas-800x800px.jpg,
,Mauri Kontu,Keskusta,https://keskusta.fi/wp-content/uploads/2025/09/305c2db5-8ba0-41d1-8df9-42a5e4a8944d-1000x1000.jpeg,
,Hanna Kosonen,Keskusta,https://keskusta.fi/wp-content/uploads/2020/06/kosonen-portrait-1000x1000.jpg,
,Antti Kurvinen,Keskusta,https://keskusta.fi/wp-content/uploads/2025/11/Kurvinen-Anti-2025-1.jpg,
,Mika Lintilä,Keskusta,https://keskusta.fi/wp-content/uploads/2020/06/lintila-portrait-1000x1000.jpg,
,Markus Lohi,Keskusta,https://keskusta.fi/wp-content/uploads/2024/05/Lohi-Markus-800x800px2-1.jpg,
,Hanna-Leena Mattila,Keskusta,https://keskusta.fi/wp-content/uploads/2020/09/Mattila-Hanna-Leena-800x533px.jpg,
,Timo Mehtälä,Keskusta,https://keskusta.fi/wp-content/uploads/2023/04/Mehtala-Timo.jpg,
,Olga Oinas-Panuma,Keskusta,https://keskusta.fi/wp-content/uploads/2023/04/Oinas-Panuma-Olga.jpg,
,Jouni Ovaska,Keskusta,https://keskusta.fi/wp-content/uploads/2020/05/Ovaska-Jouni-800x533px.jpg,
,Mika Riipi,Keskusta,https://keskusta.fi/wp-content/uploads/2024/09/Riipi-Mika-800x800px.jpg,
,Mikko Savola,Keskusta,https://keskusta.fi/wp-content/uploads/2022/06/Savola-800x533px.jpg,
,Markku Siponen,Keskusta,https://keskusta.fi/wp-content/uploads/2023/04/Siponen-Markku.jpg,
,Eerikki Viljanen,Keskusta,https://keskusta.fi/wp-content/uploads/2023/04/Viljanen-eerikki.jpg,
